"46659","1613 30th st nw  unit: 3s, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46652","1620 29th st nw, Washington, DC, ","Match","Exact","1620 29TH ST NW, WASHINGTON, DC, 20007","-77.05823,38.91104","76221302","L"
"46651","1622 29th st nw, Washington, DC, ","Match","Exact","1622 29TH ST NW, WASHINGTON, DC, 20007","-77.05823,38.911076","76221302","L"
"46654","1613 30th st nw  unit: 1n, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46653","2908 r st nw, Washington, DC, ","Match","Exact","2908 R ST NW, WASHINGTON, DC, 20007","-77.0584,38.912548","76221288","L"
"46656","1613 30th st nw  unit: 2n, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46655","1613 30th st nw  unit: 1s, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46658","1613 30th st nw  unit: 3n, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46657","1613 30th st nw  unit: 2s, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46650","1626 29th st nw, Washington, DC, ","Match","Exact","1626 29TH ST NW, WASHINGTON, DC, 20007","-77.05823,38.911144","76221302","L"
"46665","2901 q st nw  unit: 1, Washington, DC, ","Match","Exact","2901 Q ST NW, WASHINGTON, DC, 20007","-77.05829,38.910538","76224966","R"
"46664","1613 30th st nw unit: p4, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46663","1613 30th st nw unit: p3, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46662","1613 30th st nw unit: p2, Washington, DC, ","Match","Exact","1613 30TH ST NW, WASHINGTON, DC, 20007","-77.05926,38.910656","76224958","R"
"46669","2901 q st nw 000p5, Washington, DC, ","Match","Exact","2901 Q ST NW, WASHINGTON, DC, 20007","-77.05829,38.910538","76224966","R"
"46668","2901 q st nw  unit: 4, Washington, DC, ","Match","Exact","2901 Q ST NW, WASHINGTON, DC, 20007","-77.05829,38.910538","76224966","R"
