"6873","1718 corcoran st nw  unit: 21, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"6874","1718 corcoran st nw  unit: 22, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"6871","1718 corcoran st nw  unit: 14, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"6872","1718 corcoran st nw  unit: 15, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"6870","1718 corcoran st nw  unit: 13, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"531","916 25th st nw, Washington, DC, ","Match","Exact","916 25TH ST NW, WASHINGTON, DC, 20037","-77.05332,38.901188","76225221","L"
"530","913 26th st nw, Washington, DC, ","Match","Exact","913 26TH ST NW, WASHINGTON, DC, 20037","-77.05475,38.901104","639040298","R"
"2951","2141 p st nw unit: 1, Washington, DC, ","Match","Exact","2141 P ST NW, WASHINGTON, DC, 20037","-77.04783,38.909645","76237252","R"
"6869","1718 corcoran st nw  unit: 601, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"2950","2141 p st nw  unit: 1010, Washington, DC, ","Match","Exact","2141 P ST NW, WASHINGTON, DC, 20037","-77.04783,38.909645","76237252","R"
"6868","1718 corcoran st nw  unit: 5, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"6867","1718 corcoran st nw  unit: 4, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"2953","2141 p st nw unit: 4, Washington, DC, ","Match","Exact","2141 P ST NW, WASHINGTON, DC, 20037","-77.04783,38.909645","76237252","R"
"1821","2401 h st nw  unit: 907, Washington, DC, ","Match","Exact","2401 H ST NW, WASHINGTON, DC, 20037","-77.05155,38.899582","76225414","R"
"535","09121/2 25th st nw, Washington, DC, ","No_Match"
"6866","1718 corcoran st nw  unit: 2, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"2952","2141 p st nw unit: 2, Washington, DC, ","Match","Exact","2141 P ST NW, WASHINGTON, DC, 20037","-77.04783,38.909645","76237252","R"
"1822","2401 h st nw  unit: 909, Washington, DC, ","Match","Exact","2401 H ST NW, WASHINGTON, DC, 20037","-77.05155,38.899582","76225414","R"
"534","2515 i st nw, Washington, DC, ","Match","Exact","2515 I ST NW, WASHINGTON, DC, 20037","-77.05358,38.900703","76225217","R"
"6865","1718 corcoran st nw  unit: 1, Washington, DC, ","Match","Exact","1718 CORCORAN ST NW, WASHINGTON, DC, 20009","-77.039154,38.91186","76225604","L"
"2955","2141 p st nw unit: 7, Washington, DC, ","Match","Exact","2141 P ST NW, WASHINGTON, DC, 20037","-77.04783,38.909645","76237252","R"
"533","2511 i st nw, Washington, DC, ","Match","Exact","2511 I ST NW, WASHINGTON, DC, 20037","-77.053535,38.900703","76225217","R"
"532","2509 i st nw, Washington, DC, ","Match","Exact","2509 I ST NW, WASHINGTON, DC, 20037","-77.05351,38.900703","76225217","R"
