"120177","5655 a st se, Washington, DC, ","Match","Exact","5655 A ST SE, WASHINGTON, DC, 20019","-76.91962,38.888527","645509163","L"
"120178","5653 a st se, Washington, DC, ","Match","Exact","5653 A ST SE, WASHINGTON, DC, 20019","-76.91965,38.888523","645509163","L"
"120179","5651 a st se, Washington, DC, ","Match","Exact","5651 A ST SE, WASHINGTON, DC, 20019","-76.91967,38.88852","645509163","L"
"129515","talbert st se, Washington, DC, ","No_Match"
"129514","1356 dexter pl se, Washington, DC, ","Match","Non_Exact","1356 DEXTER TER SE, WASHINGTON, DC, 20020","-76.9903,38.8608","76231095","L"
"129517","1264 - 1308 talbert st se 2a, Washington, DC, ","No_Match"
"129516","1264-1308  talbert st se a, Washington, DC, ","Match","Exact","1264 TALBERT ST SE, WASHINGTON, DC, 20020","-76.99102,38.86178","76231092","L"
"129519","1264 - 1308 talbert st se 3a, Washington, DC, ","Match","Exact","1264 TALBERT ST SE, WASHINGTON, DC, 20020","-76.99101,38.86177","76231092","L"
"129518","1264 - 1308 talbert st se 2b, Washington, DC, ","Match","Exact","1264 TALBERT ST SE, WASHINGTON, DC, 20020","-76.99101,38.86177","76231092","L"
"129512","1346 dexter pl se, Washington, DC, ","Match","Non_Exact","1346 DEXTER TER SE, WASHINGTON, DC, 20020","-76.990395,38.86087","76231095","L"
"129513","1354 dexter pl se, Washington, DC, ","Match","Non_Exact","1354 DEXTER TER SE, WASHINGTON, DC, 20020","-76.99032,38.860817","76231095","L"
"129510","1375 morris rd se, Washington, DC, ","Match","Exact","1375 MORRIS RD SE, WASHINGTON, DC, 20020","-76.988914,38.861042","76231091","R"
"129511","1358 dexter pl se, Washington, DC, ","Match","Non_Exact","1358 DEXTER TER SE, WASHINGTON, DC, 20020","-76.99028,38.860786","76231095","L"
"120192","126 57th st se, Washington, DC, ","Match","Exact","126 57TH ST SE, WASHINGTON, DC, 20019","-76.918205,38.88739","76234167","L"
"120191","122 57th st se, Washington, DC, ","Match","Exact","122 57TH ST SE, WASHINGTON, DC, 20019","-76.91824,38.88733","76234167","L"
"120190","120 57th st se, Washington, DC, ","Match","Exact","120 57TH ST SE, WASHINGTON, DC, 20019","-76.91827,38.8873","76234167","L"
"120196","138 57th st se, Washington, DC, ","Match","Exact","138 57TH ST SE, WASHINGTON, DC, 20019","-76.918175,38.887596","76234167","L"
"120195","134 57th st se, Washington, DC, ","Match","Exact","134 57TH ST SE, WASHINGTON, DC, 20019","-76.91818,38.887527","76234167","L"
"120194","132 57th st se, Washington, DC, ","Match","Exact","132 57TH ST SE, WASHINGTON, DC, 20019","-76.91818,38.887493","76234167","L"
"120193","128 57th st se, Washington, DC, ","Match","Exact","128 57TH ST SE, WASHINGTON, DC, 20019","-76.9182,38.887424","76234167","L"
"120188","114 57th st se, Washington, DC, ","Match","Exact","114 57TH ST SE, WASHINGTON, DC, 20019","-76.91834,38.88722","76234167","L"
"120189","116 57th st se, Washington, DC, ","Match","Exact","116 57TH ST SE, WASHINGTON, DC, 20019","-76.91831,38.88724","76234167","L"
