80000,1404 tuckerman st nw  unit: 1,Washington,DC,
80001,1404 tuckerman st nw  unit: 2,Washington,DC,
80002,1404 tuckerman st nw  unit: 3,Washington,DC,
80003,1404 tuckerman st nw  unit: 101,Washington,DC,
80004,1404 tuckerman st nw  unit: 103,Washington,DC,
80005,1404 tuckerman st nw  unit: 201,Washington,DC,
80006,1404 tuckerman st nw  unit: 202,Washington,DC,
80007,1404 tuckerman st nw  unit: 203,Washington,DC,
80008,1404 tuckerman st nw  unit: 204,Washington,DC,
80009,1404 tuckerman st nw  unit: 301,Washington,DC,
80010,1404 tuckerman st nw  unit: 302,Washington,DC,
80011,1404 tuckerman st nw  unit: 303,Washington,DC,
80012,1401 tuckerman st nw,Washington,DC,
80013,6420 14th st nw,Washington,DC,
80014,1512 underwood st nw,Washington,DC,
80015,1500 underwood st nw,Washington,DC,
80016,6327 16th st nw,Washington,DC,
80017,6337 16th st nw,Washington,DC,
80018,6401 16th st nw,Washington,DC,
80019,6405 16th st nw,Washington,DC,
80020,6409 16th st nw,Washington,DC,
80021,6415 16th st nw,Washington,DC,
80022,6423 16th st nw,Washington,DC,
80023,6427 16th st nw,Washington,DC,
80024,6417 16th st r nw,Washington,DC,
80025,1416 underwood st nw,Washington,DC,
80026,1414 underwood st nw,Washington,DC,
80027,1412 underwood st nw,Washington,DC,
80028,6424 luzon ave nw,Washington,DC,
80029,6420 luzon ave nw,Washington,DC,
80030,6416 luzon ave nw,Washington,DC,
80031,6412 luzon ave nw,Washington,DC,
80032,6408 luzon ave nw,Washington,DC,
80033,6400 luzon ave nw,Washington,DC,
80034,1514 van buren st nw,Washington,DC,
80035,1512 van buren st nw,Washington,DC,
80036,1510 van buren st nw,Washington,DC,
80037,1508 van buren st nw,Washington,DC,
80038,1506 van buren st nw,Washington,DC,
80039,1504 van buren st nw,Washington,DC,
80040,1502 van buren st nw,Washington,DC,
80041,1500 van buren st nw,Washington,DC,
80042,1424 van buren st nw,Washington,DC,
80043,1422 van buren st nw,Washington,DC,
80044,1420 van buren st nw,Washington,DC,
80045,1415 underwood st nw,Washington,DC,
80046,1503 underwood st nw,Washington,DC,
80047,1511 underwood st nw,Washington,DC,
80048,1515 underwood st nw,Washington,DC,
80049,6505 16th st nw,Washington,DC,
80050,6515 16th st nw,Washington,DC,
80051,6517 16th st nw,Washington,DC,
80052,1518 van buren st nw,Washington,DC,
80053,1523 underwood st nw,Washington,DC,
80054,6501 16th st nw,Washington,DC,
80055,6514 luzon ave nw,Washington,DC,
80056,6510 luzon ave nw,Washington,DC,
80057,6506 luzon ave nw,Washington,DC,
80058,6500 luzon ave nw,Washington,DC,
80059,1415 van buren st nw,Washington,DC,
80060,1417 van buren st nw,Washington,DC,
80061,1419 van buren st nw,Washington,DC,
80062,1421 van buren st nw,Washington,DC,
80063,1425 van buren st nw,Washington,DC,
80064,1429 van buren st nw,Washington,DC,
80065,1501 van buren st nw,Washington,DC,
80066,1503 van buren st nw,Washington,DC,
80067,1507 van buren st nw,Washington,DC,
80068,1509 van buren st nw,Washington,DC,
80069,1513 van buren st nw,Washington,DC,
80070,1440 whittier st nw,Washington,DC,
80071,1438 whittier st nw,Washington,DC,
80072,1436 whittier st nw,Washington,DC,
80073,1428 whittier st nw,Washington,DC,
80074,1422 whittier st nw,Washington,DC,
80075,1420 whittier st nw,Washington,DC,
80076,1416 whittier st nw,Washington,DC,
80077,1412 whittier st nw,Washington,DC,
80078,1421 whittier st nw,Washington,DC,
80079,1427 whittier st nw,Washington,DC,
80080,1431 whittier st nw,Washington,DC,
80081,1437 whittier st nw,Washington,DC,
80082,1439 whittier st nw,Washington,DC,
80083,1441 whittier st nw,Washington,DC,
80084,1517 van buren st nw,Washington,DC,
80085,6607 16th st nw,Washington,DC,
80086,6616 14th st nw,Washington,DC,
80087,6604 14th st nw,Washington,DC,
80088,1448 whittier pl nw,Washington,DC,
80089,1444 whittier pl nw,Washington,DC,
80090,1440 whittier pl nw,Washington,DC,
80091,1424 whittier pl nw,Washington,DC,
80092,1412 whittier pl nw,Washington,DC,
80093,6721 16th st nw,Washington,DC,
80094,1401 - 1403 whittier st nw,Washington,DC,
80095,1405 whittier st nw,Washington,DC,
80096,6709 16th st nw,Washington,DC,
80097,6608 14th st nw  unit: 101,Washington,DC,
80098,6608 14th st nw  unit: 102,Washington,DC,
80099,6608 14th st nw  unit: 201,Washington,DC,
80100,6608 14th st nw  unit: 202,Washington,DC,
80101,1411 whittier pl nw,Washington,DC,
80102,1419 whittier pl nw,Washington,DC,
80103,1427 whittier pl nw,Washington,DC,
80104,1431 whittier pl nw,Washington,DC,
80105,1435 whittier pl nw,Washington,DC,
80106,1439 whittier pl nw,Washington,DC,
80107,1443 whittier pl nw,Washington,DC,
80108,6735 16th st nw,Washington,DC,
80109,1440 aspen st nw,Washington,DC,
80110,1432 aspen st nw,Washington,DC,
80111,1424 aspen st nw,Washington,DC,
80112,1420 aspen st nw,Washington,DC,
80113,1416 aspen st nw,Washington,DC,
80114,1401 whittier pl nw,Washington,DC,
80115,6727 16th st nw,Washington,DC,
80116,7111 16th st nw,Washington,DC,
80117,7136 alaska ave nw,Washington,DC,
80118,7130 alaska ave nw,Washington,DC,
80119,7110 alaska ave nw,Washington,DC,
80120,1428 floral st nw,Washington,DC,
80121,1412 floral st nw,Washington,DC,
80122,7200 alaska ave nw,Washington,DC,
80123,7148 alaska av nw,Washington,DC,
80124,7142 alaska ave nw,Washington,DC,
80125,7300 14th st nw,Washington,DC,
80126,7216 14th st nw,Washington,DC,
80127,7201 16th st nw,Washington,DC,
80128,7209 16th st nw,Washington,DC,
80129,7223 16th st nw,Washington,DC,
80130,7258 15th pl nw,Washington,DC,
80131,7254 15th pl nw,Washington,DC,
80132,7250 15th pl nw,Washington,DC,
80133,7244 15th pl nw,Washington,DC,
80134,7234 15th pl nw,Washington,DC,
80135,7230 15th pl nw,Washington,DC,
80136,7237 15th pl nw,Washington,DC,
80137,7247 15th pl nw,Washington,DC,
80138,7251 15th pl nw,Washington,DC,
80139,7255 15th pl nw,Washington,DC,
80140,7226 15th pl nw,Washington,DC,
80141,7229 16th st nw,Washington,DC,
