30000,230 2nd st se,Washington,DC,
30001,228 2nd st se,Washington,DC,
30002,227 pennsylvania ave se,Washington,DC,
30003,215 3rd st se,Washington,DC,
30004,0205 3rd st se,Washington,DC,
30005,0235 - 0237 pennsylvania av se,Washington,DC,
30006,0203 r 3rd st se,Washington,DC,
30007,0211 3rd st se,Washington,DC,
30008,0213 3rd st se,Washington,DC,
30009,3rd st se,Washington,DC,
30010,0210 c st se,Washington,DC,
30011,0220 c st se,Washington,DC,
30012,0208 2nd st se,Washington,DC,
30013,0212 2nd st se,Washington,DC,
30014,0233 pennsylvania av se,Washington,DC,
30015,0203 3rd st se,Washington,DC,
30016,0200 - 0220 c st se,Washington,DC,
30017,317 3rd st se,Washington,DC,
30018,316 2nd st se,Washington,DC,
30019,311 3rd st se,Washington,DC,
30020,0301 3rd st se,Washington,DC,
30021,206 d st se,Washington,DC,
30022,208 d st se,Washington,DC,
30023,210 d st se,Washington,DC,
30024,324 2nd st se,Washington,DC,
30025,326 2nd st se,Washington,DC,
30026,0201 - 0302 c st se,Washington,DC,
30027,0203 c st se,Washington,DC,
30028,0205 c st se,Washington,DC,
30029,0207 c st se,Washington,DC,
30030,0225 c st se,Washington,DC,
30031,0307 3rd st se,Washington,DC,
30032,0309 3rd st se,Washington,DC,
30033,0305 3rd st se,Washington,DC,
30034,520 2nd st se,Washington,DC,
30035,518 2nd st se,Washington,DC,
30036,0512 2nd st se,Washington,DC,
30037,510 2nd st se,Washington,DC,
30038,508 2nd st se,Washington,DC,
30039,506 2nd st se,Washington,DC,
30040,504 2nd st se,Washington,DC,
30041,221 e st se,Washington,DC,
30042,223 e st se,Washington,DC,
30043,501 3rd st se,Washington,DC,
30044,503 3rd st se,Washington,DC,
30045,505 3rd st se,Washington,DC,
30046,509 3rd st se,Washington,DC,
30047,511 3rd st se,Washington,DC,
30048,232 south carolina ave se,Washington,DC,
30049,230 south carolina ave se,Washington,DC,
30050,224 south carolina ave se,Washington,DC,
30051,216 south carolina ave se,Washington,DC,
