,address,city,state,zip
71080,1225 1st st ne,Washington,DC,
23068,h st nw,Washington,DC,
133026,3883 connecticut av,Washington,DC,
167653,2825 11th st nw 2,Washington,DC,
137125,3883 connecticut av,Washington,DC,
30686,0400 8th st nw,Washington,DC,
144522,3883 connecticut av,Washington,DC,
144118,3883 connecticut av,Washington,DC,
28246,0400 8th st nw,Washington,DC,
97353,2406 44th st nw,Washington,DC,
78325,0623 8th st ne,Washington,DC,
26396,h st nw,Washington,DC,
79045,ne,Washington,DC,
110241,38th st nw,Washington,DC,
200031,1152 morse st ne,Washington,DC,
198965,ne,Washington,DC,
229903,1720 40th st se,Washington,DC,
30127,0400 8th st nw,Washington,DC,
23586,h st nw,Washington,DC,
23734,h st nw,Washington,DC,
204569,24th st ne,Washington,DC,
117127,nw,Washington,DC,
179692,nw,Washington,DC,
184070,532 oneida pl nw,Washington,DC,
114403,3226 quesada st nw,Washington,DC,
179978,227 rhode island ave nw,Washington,DC,
30981,0400 8th st nw,Washington,DC,
30237,0400 8th st nw,Washington,DC,
189587,37 t st ne,Washington,DC,
216589,1017 47th pl ne,Washington,DC,
100886,4830 davenport st nw,Washington,DC,
67891,h st nw,Washington,DC,
123446,3883 connecticut av,Washington,DC,
213459,minnesota av ne,Washington,DC,
31225,0400 8th st nw,Washington,DC,
99847,5024 cathedral ave nw,Washington,DC,
206644,channing st ne,Washington,DC,
5674,1825 t st nw  unit: 704,Washington,DC,
120125,3883 connecticut ave nw  unit: 309,Washington,DC,
110989,3650 upton st nw,Washington,DC,
37676,608 6th pl sw,Washington,DC,
138842,3883 connecticut av,Washington,DC,
156589,2027 park rd nw,Washington,DC,
245687,3864 halley tr se,Washington,DC,
72117,3rd st ne,Washington,DC,
140949,3883 connecticut av,Washington,DC,
237352,se,Washington,DC,
141604,3883 connecticut av,Washington,DC,
243950,alabama ave se,Washington,DC,
195571,9th st ne,Washington,DC,
28832,0400 8th st nw,Washington,DC,
32202,0400 8th st nw,Washington,DC,
117460,2818 connecticut av,Washington,DC,
48604,0555 massachusetts av,Washington,DC,
55863,0555 massachusetts av,Washington,DC,
117824,2818 connecticut av,Washington,DC,
96084,2018 tunlaw rd nw,Washington,DC,
140818,3883 connecticut av,Washington,DC,
11076,1629 16th st nw  unit: 2,Washington,DC,
129056,3883 connecticut av,Washington,DC,
200349,1159 morse st ne,Washington,DC,
146202,3883 connecticut av,Washington,DC,
213925,4404 ord st ne,Washington,DC,
108677,3891 newark st nw  unit: a481,Washington,DC,
205666,3314 banneker dr 03314,Washington,DC,
248647,ne,Washington,DC,
37029,675 e st nw,Washington,DC,
155716,1851 irving st nw,Washington,DC,
26009,h st nw,Washington,DC,
72194,0205 f st ne,Washington,DC,
226887,bowen rd se,Washington,DC,
10263,1401 17th st nw  unit: 608,Washington,DC,
54155,0555 massachusetts av,Washington,DC,
150863,2013 columbia rd nw  unit: c,Washington,DC,
78323,0619 8th st ne,Washington,DC,
98396,4764 reservoir rd nw,Washington,DC,
229816,3937 s st se  unit: 207,Washington,DC,
138997,3883 connecticut av,Washington,DC,
42285,0555 massachusetts av,Washington,DC,
108914,3801 porter st nw unit: 179,Washington,DC,
234481,31st st se,Washington,DC,
41554,0555 massachusetts av,Washington,DC,
143768,3883 connecticut av,Washington,DC,
236478,33rd st se,Washington,DC,
42949,0555 massachusetts av,Washington,DC,
71169,142 north carolina ave se,Washington,DC,
7726,1615 new hampshire av,Washington,DC,
237155,2850 hartford st se  unit: 203,Washington,DC,
165247,nw,Washington,DC,
27540,733 10th st nw,Washington,DC,
84089,1391 pennsylvania ave se  unit: 303,Washington,DC,
213028,0547 42nd st ne,Washington,DC,
143210,3883 connecticut av,Washington,DC,
13077,1515 15th st nw  unit: 226,Washington,DC,
56396,0555 massachusetts av,Washington,DC,
119767,2755 ordway st nw unit: 63,Washington,DC,
87567,123 16th st ne,Washington,DC,
186902,4013 marlboro pl nw,Washington,DC,
102522,4200 massachusetts ave nw  unit: 313,Washington,DC,
180306,147 randolph pl nw,Washington,DC,
53223,0555 massachusetts av,Washington,DC,
244110,3321 7th st se,Washington,DC,
37299,616 e st nw  unit: 304,Washington,DC,
98466,nw,Washington,DC,
195761,1012 rhode island ave ne,Washington,DC,
130287,3883 connecticut av,Washington,DC,
60778,302 m st nw,Washington,DC,
198674,1700 west virginia ave ne,Washington,DC,
60503,1629 4th st nw,Washington,DC,
210108,109 33rd st ne,Washington,DC,
104490,5300 43rd st nw  unit: 202,Washington,DC,
75438,116 6th st ne  unit: 203,Washington,DC,
135934,3883 connecticut av,Washington,DC,
118631,2501 calvert st nw  unit: 502,Washington,DC,
207420,bladensburg rd ne,Washington,DC,
181671,61 bryant st nw,Washington,DC,
55464,0555 massachusetts av,Washington,DC,
45107,0555 massachusetts av,Washington,DC,
179264,2833 georgia ave nw,Washington,DC,
158292,1412  chapin st nw 4,Washington,DC,
223138,324 62nd st ne,Washington,DC,
64073,1505 3rd st nw,Washington,DC,
69308,h st nw,Washington,DC,
154888,2611 adams mill rd nw  unit: 204,Washington,DC,
24932,10th st nw,Washington,DC,
102819,4201 cathedral ave nw  unit: 218e,Washington,DC,
208218,825 20th st ne,Washington,DC,
19312,1618 11th st nw  unit: 103,Washington,DC,
86822,se,Washington,DC,
148445,5456 30th pl nw,Washington,DC,
67745,h st nw,Washington,DC,
67494,55 m st nw  unit: 102,Washington,DC,
11747,1413 t st nw  unit: 306,Washington,DC,
12606,1534 14th st nw,Washington,DC,
223782,5620 central ave se,Washington,DC,
38086,1837 6th st nw,Washington,DC,
61515,350 g st sw  unit: n403,Washington,DC,
70101,35 florida ave ne,Washington,DC,
196122,1122 shepherd st ne,Washington,DC,
198093,1509 lawrence st ne,Washington,DC,
248702,ne,Washington,DC,
128583,3883 connecticut av,Washington,DC,
17484,temperance ct nw,Washington,DC,
245659,14 halley pl se  unit: 301,Washington,DC,
224157,5431 c st se,Washington,DC,
68357,h st nw,Washington,DC,
83646,1315 independence ave se f,Washington,DC,
20464,1425 11th st nw  unit: 501,Washington,DC,
80881,215 12th st se,Washington,DC,
210066,3349 blaine st ne,Washington,DC,
83684,245 14th st se  unit: b,Washington,DC,
239519,1514 w st se,Washington,DC,
249810,h st nw,Washington,DC,
19570,1115 12th st nw  unit: 305,Washington,DC,
73265,637 3rd st ne  unit: 402,Washington,DC,
82500,1310 maryland ave ne,Washington,DC,
214914,clay st ne,Washington,DC,
61629,355 i st sw  unit: 218,Washington,DC,
149810,7020 31st st nw,Washington,DC,
204379,3141 24th st ne,Washington,DC,
55756,0555 massachusetts av,Washington,DC,
34234,0400 8th st nw,Washington,DC,
215340,45th st ne,Washington,DC,
61754,800 4th st sw  unit: n116,Washington,DC,
174813,1224 kennedy st nw,Washington,DC,
182993,724 tuckerman st nw,Washington,DC,
156595,2043 park rd nw,Washington,DC,
18135,1432 12th st nw,Washington,DC,
171610,georgia ave nw,Washington,DC,
167884,1308 fairmont st nw,Washington,DC,
208277,1938 bennett pl ne,Washington,DC,
193730,6428 eastern ave ne,Washington,DC,
109990,3620 quesada st nw,Washington,DC,
152055,1832 calvert st nw p-1,Washington,DC,
231278,2131 young st se  unit: 201,Washington,DC,
169476,3005 sherman ave nw  unit: 2,Washington,DC,
35259,0400 8th st nw,Washington,DC,
51253,0555 massachusetts av,Washington,DC,
252050,1725 lanier pl nw  unit: 39c,Washington,DC,
233816,se,Washington,DC,
179773,nw,Washington,DC,
45006,0555 massachusetts av,Washington,DC,
21677,nw,Washington,DC,
119915,3701 connecticut ave nw  unit: 618,Washington,DC,
120869,3883 connecticut av,Washington,DC,
47557,0555 massachusetts av,Washington,DC,
100509,5175 tilden st nw,Washington,DC,
5568,1301 20th st nw unit: p27,Washington,DC,
239481,1742 w st se,Washington,DC,
131349,3883 connecticut av,Washington,DC,
167586,1316 harvard st nw p-3,Washington,DC,
112412,nw,Washington,DC,
39666,0555 massachusetts av,Washington,DC,
245629,10 halley pl se  unit: 102,Washington,DC,
209103,629 18th st ne,Washington,DC,
123885,3883 connecticut av,Washington,DC,
58014,1425 4th st sw unit: p166,Washington,DC,
94006,1657 31st st nw,Washington,DC,
98107,4491 macarthur blvd nw unit: p15,Washington,DC,
30761,0400 8th st nw,Washington,DC,
141820,3883 connecticut av,Washington,DC,
36938,777 7th st nw  unit: 1024,Washington,DC,
250908,h st nw,Washington,DC,
155074,harvard st nw,Washington,DC,
13969,15th st nw,Washington,DC,
10696,1513 s st nw  unit: 1,Washington,DC,
142810,3883 connecticut av,Washington,DC,
1589,950 24th st nw  unit: 512,Washington,DC,
207136,30th st ne,Washington,DC,
169552,3104 georgia av nw,Washington,DC,
76725,618 north carolina ave se,Washington,DC,
35792,0400 8th st nw,Washington,DC,
102173,4440 albemarle st nw,Washington,DC,
135382,3883 connecticut av,Washington,DC,
183504,343 cedar st nw  unit: 104,Washington,DC,
86692,1508 east capitol st ne,Washington,DC,
196109,3934 12th st ne,Washington,DC,
16118,1330 massachusetts ave nw  unit: 821,Washington,DC,
167876,1303 euclid st nw,Washington,DC,
153489,2339 ontario rd nw,Washington,DC,
117379,2818 connecticut av,Washington,DC,
205214,3005 clinton st ne,Washington,DC,
99257,5018 sherier pl nw,Washington,DC,
157517,1705 upshur st nw,Washington,DC,
248263,ne,Washington,DC,
55548,0555 massachusetts av,Washington,DC,
104295,44th st nw,Washington,DC,
47831,0555 massachusetts av,Washington,DC,
121380,3883 connecticut av,Washington,DC,
86932,se,Washington,DC,
36770,h st nw,Washington,DC,
10190,1520 16th st nw  unit: 803,Washington,DC,
27574,733 10th st nw,Washington,DC,
6472,1706 u st nw  unit: 204,Washington,DC,
226027,se,Washington,DC,
136373,3883 connecticut av,Washington,DC,
209897,324 19th st ne,Washington,DC,
221329,0300 - 0302 54th st ne,Washington,DC,
87219,0521 16th st se,Washington,DC,
9775,1626 riggs pl nw,Washington,DC,
56427,0555 massachusetts av,Washington,DC,
221107,dix st ne,Washington,DC,
119628,2711 ordway st nw  unit: 109,Washington,DC,
183678,508 whittier st nw,Washington,DC,
1786,2401 h st nw  unit: 315,Washington,DC,
239291,1657 u st se,Washington,DC,
28871,0400 8th st nw,Washington,DC,
222744,61st st ne,Washington,DC,
93289,3035 west lane kys nw,Washington,DC,
45032,0555 massachusetts av,Washington,DC,
206920,channing st ne,Washington,DC,
53379,0555 massachusetts av,Washington,DC,
110167,5431 connecticut ave nw  unit: 304,Washington,DC,
119556,2712 ordway st nw unit: p30,Washington,DC,
118170,2628 garfield st nw,Washington,DC,
216369,47th st ne,Washington,DC,
202612,ne,Washington,DC,
119339,2710 macomb st nw 00024,Washington,DC,
151234,2310 ashmead pl nw  unit: 201,Washington,DC,
143028,3883 connecticut av,Washington,DC,
225678,17 bass cir se,Washington,DC,
86013,se,Washington,DC,
242492,3287 15th pl se  unit: 202,Washington,DC,
40763,0555 massachusetts av,Washington,DC,
150457,2230 california st nw  unit: 3aw,Washington,DC,
84327,1321 potomac av se,Washington,DC,
50964,0555 massachusetts av,Washington,DC,
165527,3825 14th st nw,Washington,DC,
213767,1439 anacostia ave ne,Washington,DC,
185653,5237 5th st nw,Washington,DC,
74238,florida ave ne,Washington,DC,
26703,10th st nw,Washington,DC,
116886,2737 devonshire pl nw  unit: 211,Washington,DC,
223160,6220 - 6240 clay st ne,Washington,DC,
121258,3883 connecticut av,Washington,DC,
110360,3702 military rd nw,Washington,DC,
87236,0521 16th st se,Washington,DC,
130735,3883 connecticut av,Washington,DC,
221132,eads st ne,Washington,DC,
41256,0555 massachusetts av,Washington,DC,
52514,0555 massachusetts av,Washington,DC,
84049,1391 pennsylvania ave se  unit: 226,Washington,DC,
242246,1843 bruce pl se,Washington,DC,
202583,ne,Washington,DC,
187242,4817 3rd st nw,Washington,DC,
203015,22nd st ne,Washington,DC,
137071,3883 connecticut av,Washington,DC,
10062,1625 q st nw  unit: 101,Washington,DC,
48284,0555 massachusetts av,Washington,DC,
81543,13th st ne,Washington,DC,
21497,908 westminster st nw,Washington,DC,
63203,1101 3rd st sw  unit: 104,Washington,DC,
186734,nw,Washington,DC,
95868,3827 davis pl nw  unit: 2,Washington,DC,
83305,1368 east capitol st ne,Washington,DC,
113432,5229 chevy chase pkwy nw,Washington,DC,
21747,935 o st nw,Washington,DC,
112113,65 observatory cir nw,Washington,DC,
53597,0555 massachusetts av,Washington,DC,
154144,2200 17th st nw g-72,Washington,DC,
165057,1316 delafield pl nw,Washington,DC,
61214,441 4th st nw,Washington,DC,
108314,3210 38th st nw,Washington,DC,
242863,3506 21st st se,Washington,DC,
227275,4249 massachusetts ave se,Washington,DC,
42988,0555 massachusetts av,Washington,DC,
92939,2500 q st nw  unit: 221,Washington,DC,
221503,5321 ames st ne,Washington,DC,
251839,h st nw,Washington,DC,
140134,3883 connecticut av,Washington,DC,
87786,se,Washington,DC,
70233,o st ne,Washington,DC,
42875,0555 massachusetts av,Washington,DC,
9587,1624 u st nw unit: p5,Washington,DC,
163659,6707 14th pl nw,Washington,DC,
25035,925 h st nw 807,Washington,DC,
153027,1745 kalorama rd nw  unit: b1,Washington,DC,
171998,georgia ave nw,Washington,DC,
203619,2216 perry st ne,Washington,DC,
77119,0708 6th st se,Washington,DC,
251271,h st nw,Washington,DC,
241239,se,Washington,DC,
195810,ne,Washington,DC,
15362,1 logan cir nw  unit: 2,Washington,DC,
173828,georgia ave nw,Washington,DC,
1660,950 24th st nw  unit: 911,Washington,DC,
67204,h st nw,Washington,DC,
163390,1313 roxanna rd nw,Washington,DC,
42812,0555 massachusetts av,Washington,DC,
196095,1007 quincy st ne unit: 1007,Washington,DC,
13350,1441 rhode island ave nw  unit: 219,Washington,DC,
142139,3883 connecticut av,Washington,DC,
58308,1627 5th st nw,Washington,DC,
212038,benning rd ne,Washington,DC,
198008,1534 newton st ne,Washington,DC,
195335,4419 7th st ne,Washington,DC,
159405,1421 columbia rd nw  unit: 303,Washington,DC,
238860,1757 w st se,Washington,DC,
48190,0555 massachusetts av,Washington,DC,
251728,h st nw,Washington,DC,
38001,700 7th st sw 0p119,Washington,DC,
66133,h st nw,Washington,DC,
46316,0555 massachusetts av,Washington,DC,
100111,5112 watson st nw,Washington,DC,
246719,0721 brandywine st,Washington,DC,
107524,2801 new mexico ave nw  unit: 404,Washington,DC,
